nsim,ave_community_size,community_size_range,num_communities,rate_within,rate_between,beta,num_introductions,direct_VE,incperiod_shape,incperiod_rate,infperiod_shape,infperiod_rate,trial_startday,trial_length,num_clusters_enrolled_per_day,num_ind_enrolled_per_day,enrollment_period,cluster_coverage,oneday_intros,PowerLaw,R0,power_iRCT,power_stratified_iRCT,power_cRCT_gaussianfrailty_coxme,power_cRCT_gaussianfrailty_coxph,power_cRCT_gammafrailty_coxph,power_cRCT_gee,power_cRCT_gaussianfrailty_rslopes,power_cRCT_permtest,VE_iRCT,VE_stratified_iRCT,VE_cRCT_gaussianfrailty_coxme,VE_cRCT_gaussianfrailty_coxph,VE_cRCT_gammafrailty_coxph,VE_cRCT_gee,VE_cRCT_gaussianfrailty_rslopes,event_cont_iRCT,event_cont_stratified_iRCT,event_cont_cRCT,event_vacc_iRCT,event_vacc_stratified_iRCT,event_vacc_cRCT,samplesize_iRCT,samplesize_stratified_iRCT,samplesize_cRCT,ICC,deff,prop_zeros
1000,100,0,80,0.15,0,0.008490129,0.0125,0,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.011,0.01,0.013,0.014,0.028,0.057,0,0,0.003504232,0,-0.001256835,-0.000250466,0.004932182,0.000250198,0.000286428,7,7,6,7,7,6,4000,4000,4000,0.043334799,3.122863465,0.9125
500,100,0,80,0.15,0,0.008490129,0.0125,0.6,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.136,0.13,0.016,0.032,0.126,0.216,0,0,0.611578322,0.60711134,0.65180059,0.65589994,0.755684204,0.75041299,0.750349246,5,6,7,2,2,2,4000,4000,4000,0.024379894,2.194614797,0.9375
1000,100,0,80,0.15,0,0.008490129,0.025,0,3.11,0.32,1.13,0.226,100,140,80,4000,1,0.5,0,0,0.6,0.018,0.018,0.018,0.019,0.039,0.057,0,0,0.023207571,-5.88E-05,-0.013868455,-0.029293538,-0.055544269,-0.063459745,-0.063508564,10,10,9,10,10,10,4000,4000,4000,0.045185916,3.213827766,0.875
500,100,0,80,0.15,0,0.008490129,0.025,0.6,3.11,0.32,1.13,0.226,100,140,80,4000,1,0.5,0,0,0.6,0.236,0.258,0.042,0.092,0.196,0.282,0,0,0.604890198,0.603722555,0.608115441,0.61531682,0.70594255,0.700618235,0.700489356,8,9,9,4,4,3,4000,4000,4000,0.025947739,2.271439205,0.9125
1000,100,0,80,0.15,0,0.008490129,0.025,0,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.027,0.018,0.028,0.023,0.039,0.053,0,0,0.020326363,0.00535461,0.016506931,0.019974143,0.024353423,0.001558534,0.001298323,15,14,14,14,14,14,3999,3999,3999,0.051785781,3.537503264,0.8375
500,100,0,80,0.15,0,0.008490129,0.025,0.4,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.134,0.154,0.078,0.138,0.212,0.254,0,0,0.378917289,0.386875386,0.426090011,0.43224723,0.548383058,0.536544379,0.536432365,12,12,14,8,8,6,3999,3999,3999,0.043143977,3.113515592,0.875
500,100,0,80,0.15,0,0.008490129,0.025,0.5,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.26,0.238,0.08,0.132,0.254,0.302,0,0,0.492009574,0.501601066,0.519365403,0.51738706,0.626559563,0.623456934,0.623140357,13,12,14,6,6,5,3999,3999,3999,0.037746686,2.848407156,0.875
500,100,0,80,0.15,0,0.008490129,0.025,0.6,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.344,0.366,0.116,0.214,0.328,0.384,0,0,0.598028308,0.584164712,0.639784457,0.648248226,0.753644075,0.750440208,0.750362772,12,11.5,14,5,5,3,3999,3999,3999,0.040642417,2.991478415,0.8875
500,100,0,80,0.15,0,0.008490129,0.025,0.7,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.436,0.516,0.142,0.258,0.406,0.492,0,0,0.68630973,0.705575157,0.705665056,0.721367338,0.805363873,0.800576192,0.800637861,11,11.5,13,4,3,3,3999,3999,3999,0.035763491,2.751739564,0.9
500,100,0,80,0.15,0,0.008490129,0.025,0.8,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.606,0.578,0.206,0.372,0.532,0.624,0,0,0.809736248,0.80205862,0.819130512,0.820730572,0.881468318,0.875543837,0.87553052,11,11,14,2,2,2,3999,3999,3999,0.040932103,3.005201098,0.9
500,100,0,80,0.15,0,0.008490129,0.025,0.9,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.686,0.686,0.23,0.462,0.608,0.706,0,0,0.910780615,0.891735874,0.90248836,0.908791985,0.948912123,0.947593862,0.947549484,10,10,14,1,1,1,3999,3999,3999,0.038607876,2.891062023,0.9125
500,100,0,80,0.15,0,0.008490129,0.025,1,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.786,0.83,0.236,0.466,0.694,0.794,0,0,1,1,1,1,1,1,1,10,10,14,0,0,0,3999,3999,3999,0.044729486,3.191466035,0.9125
1000,100,0,80,0.15,0,0.008490129,0.025,0,3.11,0.32,1.13,0.226,200,140,80,4000,1,0.5,0,0,0.6,0.028,0.021,0.021,0.018,0.04,0.062,0,0,-0.004392521,0.017548087,-0.014667939,-0.032080622,-0.010324065,-0.002284998,-0.001646446,17,17,15,17,16,15,3998,3998,3998,0.061627766,4.017060675,0.8375
500,100,0,80,0.15,0,0.008490129,0.025,0.6,3.11,0.32,1.13,0.226,200,140,80,4000,1,0.5,0,0,0.6,0.368,0.384,0.12,0.214,0.346,0.402,0,0,0.573610199,0.581565142,0.625873527,0.638175723,0.741613337,0.736059358,0.736233878,13,13,16,5,5,4,3998,3998,3998,0.043136478,3.112069489,0.875
1000,100,0,80,0.15,0,0.008490129,0.025,0,3.11,0.32,1.13,0.226,250,140,80,4000,1,0.5,0,0,0.6,0.019,0.025,0.024,0.02,0.041,0.056,0,0,-0.024395883,-0.006919359,-0.001585819,-0.021731759,-0.003896562,-0.000913381,-0.000883659,14,15,14,15,15,14,3997,3997,3997,0.066596982,4.260339083,0.8625
500,100,0,80,0.15,0,0.008490129,0.025,0.6,3.11,0.32,1.13,0.226,250,140,80,4000,1,0.5,0,0,0.6,0.356,0.342,0.094,0.162,0.272,0.354,0,0,0.608941487,0.566664884,0.580385831,0.585432634,0.701600996,0.696781192,0.69666302,12,12,14,5,5,4,3998,3997,3997,0.044963128,3.202069922,0.8875
1000,100,0,80,0.15,0,0.008490129,0.05,0,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.027,0.025,0.025,0.032,0.041,0.042,0,0,-0.008105437,-0.008626768,0.002969464,0.011909144,0.028639603,0.022260148,0.022245628,30,30,29,29,29,29,3998,3997,3997,0.060941587,3.984613899,0.7
500,100,0,80,0.15,0,0.008490129,0.05,0.6,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.6,0.706,0.696,0.396,0.518,0.61,0.632,0,0,0.612837472,0.609834762,0.64799644,0.646987755,0.732951857,0.721742658,0.721680665,24,24,29,10,10,8,3998,3997,3998,0.045046578,3.207000662,0.775
1000,100,0,80,0.15,0,0.01147347,0.0125,0,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.8,0.022,0.02,0.03,0.014,0.05,0.095,0,0,0.022057913,0.00652696,-0.010934519,-0.012278026,0.006980055,0.000450191,0.000444836,13,13,11,12,12,11,3999,3999,3999,0.116251102,6.69417677,0.9125
500,100,0,80,0.15,0,0.01147347,0.0125,0.6,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.8,0.248,0.274,0.042,0.042,0.198,0.268,0,0,0.617937673,0.596199619,0.621260351,0.608004565,0.788677266,0.777985286,0.777847253,8,9,12,4,4,3,3999,3999,3999,0.073880004,4.617340551,0.9375
1000,100,0,80,0.15,0,0.01147347,0.025,0,3.11,0.32,1.13,0.226,100,140,80,4000,1,0.5,0,0,0.8,0.018,0.023,0.036,0.025,0.058,0.071,0,0,-0.006528035,0.010337289,-0.013901999,-0.029338296,0.00598338,0.002034188,0.00151704,17,18,16,17,18,17,3999,3999,3999,0.115337022,6.6515141,0.8625
500,100,0,80,0.15,0,0.01147347,0.025,0.6,3.11,0.32,1.13,0.226,100,140,80,4000,1,0.5,0,0,0.8,0.372,0.432,0.078,0.132,0.308,0.39,0,0,0.59573349,0.605954585,0.634575155,0.631255741,0.775969423,0.765282089,0.765103871,13,14,16,6,5,4,3999,3999,3999,0.07307101,4.579105307,0.9
1000,100,0,80,0.15,0,0.01147347,0.025,0,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.8,0.021,0.028,0.027,0.029,0.058,0.061,0,0,-0.009417924,-0.006424397,0.005968603,0.007074787,0.049627284,0.054273948,0.05419246,27,27,26,27,28,26,3998,3998,3998,0.146164965,8.157515465,0.825
500,100,0,80,0.15,0,0.01147347,0.025,0.4,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.8,0.27,0.324,0.104,0.12,0.244,0.294,0,0,0.383348504,0.396023443,0.466732406,0.45345796,0.621882413,0.598062438,0.597835834,21,22,27,13,13,10,3998,3998,3998,0.108090795,6.293068245,0.85
500,100,0,80,0.15,0,0.01147347,0.025,0.5,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.8,0.458,0.42,0.126,0.168,0.328,0.38,0,0,0.498296402,0.481244671,0.553797461,0.526192305,0.718835816,0.70581211,0.705557251,20,21,26,10,11,8,3998,3998,3998,0.104730555,6.125455537,0.8625
500,100,0,80,0.15,0,0.01147347,0.025,0.6,3.11,0.32,1.13,0.226,150,140,80,4000,1,0.5,0,0,0.8,0.54,0.536,0.144,0.258,0.434,0.484,0,0,0.588258506,0.577518952,0.641562719,0.639906331,0.78729617,0.778111588,0.777982332,20,19,25.5,8,8,6,3998,3998,3998,0.101605842,5.977416209,0.8625
