PH,StartCount,VEmax,R0,VEest,SS
0.1,6,0.5,0.37,25.07364,3669.36
0.1,6,0.5,0.61,33.4240794344401,686.190858414089
0.1,6,0.5,0.80,36.5911513105152,350.427040992283
0.1,6,0.7,0.37,34.1535094426179,963.691669152085
0.1,6,0.7,0.61,45.7427109813891,316.652873025669
0.1,6,0.7,0.80,49.458759097258,189.577007539626
0.1,6,0.9,0.37,43.5567010309278,604.728173040691
0.1,6,0.9,0.61,54.8618684114867,184.783880207004
0.1,6,0.9,0.80,61.2630819198845,111.177489527049
0.1,16,0.5,0.37,48.4941123188406,668.4346294115
0.1,16,0.5,0.61,55.2407321950469,241.10764766725
0.1,16,0.5,0.80,57.4290322580645,166.85664426608
0.1,16,0.7,0.37,66.1065678507539,401.123937177973
0.1,16,0.7,0.61,71.6590389016018,139.630984197573
0.1,16,0.7,0.80,72.6676056338028,79.9390090544096
0.1,16,0.9,0.37,81.3657407407407,235.2731592722
0.1,16,0.9,0.61,86.7295597484277,82.7327319060017
0.1,16,0.9,0.80,88.018341307815,50.6193522904789
0.1,26,0.5,0.37,61.3680528565876,811.752786186768
0.1,26,0.5,0.61,60.7767722473605,238.269041495115
0.1,26,0.5,0.80,62.3845242795105,148.370801693364
0.1,26,0.7,0.37,79.1575252303642,416.705943997299
0.1,26,0.7,0.61,81.3226744186046,131.196160586432
0.1,26,0.7,0.80,79.5986622073579,75.021312328972
0.1,26,0.9,0.37,95.6521739130435,234.119218193588
0.1,26,0.9,0.61,94.0285204991087,74.4873178564823
0.1,26,0.9,0.80,95.6521739130435,45.0453827921367
0.2,6,0.5,0.37,21.5184074461258,2755.30208834939
0.2,6,0.5,0.61,28.6933305687841,920.484948814434
0.2,6,0.5,0.80,32.5871496924129,517.178723517615
0.2,6,0.7,0.37,27.8605225521513,1409.96389795804
0.2,6,0.7,0.61,39.2163461538462,424.215576809465
0.2,6,0.7,0.80,43.4553287722211,235.456303902585
0.2,6,0.9,0.37,34.1333387801789,662.063444700195
0.2,6,0.9,0.61,47.3482275197628,260.801704387798
0.2,6,0.9,0.80,55.9296949269726,138.692370958045
0.2,16,0.5,0.37,46.9434229137199,908.095754920938
0.2,16,0.5,0.61,53.302925775081,340.847761519805
0.2,16,0.5,0.80,55.1110789609053,189.515130938463
0.2,16,0.7,0.37,58.0560546173194,516.198216031932
0.2,16,0.7,0.61,67.1043882978723,159.350242516602
0.2,16,0.7,0.80,72.1370023419204,100.416720167924
0.2,16,0.9,0.37,74.1097612065354,291.527843696711
0.2,16,0.9,0.61,83.3333333333333,103.982834152078
0.2,16,0.9,0.80,84.8450057405281,61.2646019997982
0.2,26,0.5,0.37,58.1681280975982,1406.89660349803
0.2,26,0.5,0.61,64.4375046197058,385.264187428746
0.2,26,0.5,0.80,62.3523622047244,175.506482122766
0.2,26,0.7,0.37,79.5918367346939,515.057241336907
0.2,26,0.7,0.61,80.2923602219377,169.907811760576
0.2,26,0.7,0.80,83.2251082251082,96.93764902376
0.2,26,0.9,0.37,94.0285204991087,285.982537618402
0.2,26,0.9,0.61,94.3650793650794,96.4813112971608
0.2,26,0.9,0.80,96.0769230769231,54.8061768946312
0.3,6,0.5,0.37,17.34927,4171.051
0.3,6,0.5,0.61,24.1868643977226,1411.82895441004
0.3,6,0.5,0.80,28.1281971709729,632.399544174004
0.3,6,0.7,0.37,23.113295,3010.356
0.3,6,0.7,0.61,33.5065020359911,684.132712215442
0.3,6,0.7,0.80,37.6100641075153,313.352139910034
0.3,6,0.9,0.37,29.5703864684122,1186.03985932229
0.3,6,0.9,0.61,39.7710226298646,334.466987539718
0.3,6,0.9,0.80,48.0975115740741,177.937809447338
0.3,16,0.5,0.37,43.3530484771433,1283.31210743722
0.3,16,0.5,0.61,49.6407971984756,499.994196789823
0.3,16,0.5,0.80,53.842843089031,203.668555948876
0.3,16,0.7,0.37,57.3998748435544,700.10836742476
0.3,16,0.7,0.61,65.5015928352467,209.638963841445
0.3,16,0.7,0.80,69.7270889487871,125.985732336147
0.3,16,0.9,0.37,67.8215850258861,381.00458095718
0.3,16,0.9,0.61,78.8811728395062,132.024464880974
0.3,16,0.9,0.80,81.8665377176015,76.1184501185018
0.3,26,0.5,0.37,60.277267558821,1451.97116638252
0.3,26,0.5,0.61,62.6845712375327,456.959808221175
0.3,26,0.5,0.80,64.3631651327621,236.478687183374
0.3,26,0.7,0.37,78.0241467378686,856.610553316473
0.3,26,0.7,0.61,82.6086956521739,227.473035701109
0.3,26,0.7,0.80,81.25,117.984199207548
0.3,26,0.9,0.37,94.4444444444444,378.496741049391
0.3,26,0.9,0.61,94.1176470588235,125.606869493696
0.3,26,0.9,0.80,95.8333333333333,68.442625758498
