PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.1,6,0.5,0.37,24.01809104,7.595709571,38.76352772,1042.934587
0.1,6,0.5,0.5,30.50246424,10.72063677,42.27347884,550.3861003
0.1,6,0.5,0.61,32.04058032,14.62461088,47.42581602,383.1111577
0.1,6,0.5,0.7,35.89883268,13.97789378,51.97661185,243.8112118
0.1,6,0.5,0.8,38.03331385,12.42564554,57.60287984,186.4901141
0.1,6,0.6,0.37,29.67762011,9.490384615,43.88363546,674.1212673
0.1,6,0.6,0.5,35.0552523,16.25490196,51.76511656,361.8601871
0.1,6,0.6,0.61,39.60064935,13.64797217,55.17843475,228.5484737
0.1,6,0.6,0.7,42.67904303,23.11887843,59.9102513,162.0890713
0.1,6,0.6,0.8,47.40683826,25.63417472,62.41867201,118.4753857
0.1,6,0.7,0.37,34.31078767,13.69047619,49.54627404,578.5106916
0.1,6,0.7,0.5,40.0617284,17.98865069,56.49017802,268.0493619
0.1,6,0.7,0.61,41.75531915,22.31521739,62.46315035,160.7937171
0.1,6,0.7,0.7,48.58032787,25.66912093,64.85223762,124.4878567
0.1,6,0.7,0.8,50.56397306,26.15117015,68.30139755,93.67788017
0.1,6,0.8,0.37,36.88922489,11.61827957,58.29299002,371.7494302
0.1,6,0.8,0.5,45.94659418,15.17033941,63.94675926,207.8621345
0.1,6,0.8,0.61,50.82665978,20.36156727,65.18296922,122.5582712
0.1,6,0.8,0.7,53.6271809,29.18831169,71.78623188,97.7513637
0.1,6,0.8,0.8,56.78643725,29.39434129,74.8877551,76.66280329
0.1,6,0.9,0.37,42.85714286,12.35190097,58.58314732,352.9103919
0.1,6,0.9,0.5,51.11331024,19.75848385,66.15599566,151.9433055
0.1,6,0.9,0.61,53.54645355,25.94727047,71.89343399,96.95367477
0.1,6,0.9,0.7,56.33802817,33.34519023,75.13993461,79.37422809
0.1,6,0.9,0.8,61.73554979,39.76297669,75.72427908,59.5111309
0.1,11,0.5,0.37,38.47706032,18.91678371,57.14941825,472.9522951
0.1,11,0.5,0.5,44.9852071,24.02899218,62.40167754,325.3416126
0.1,11,0.5,0.61,45.30612245,24.22596369,66.82928994,148.0776289
0.1,11,0.5,0.7,49.13733609,26.50387597,64.08559953,153.1608008
0.1,11,0.5,0.8,50.51736321,21.30054473,68.02231719,103.2249407
0.1,11,0.6,0.37,43.75,22.4270557,59.59733894,399.4163784
0.1,11,0.6,0.5,52.35248958,31.38321416,66.99292453,194.6141168
0.1,11,0.6,0.61,55.83333333,22.74493927,71.43181818,115.9801391
0.1,11,0.6,0.7,55.24548119,27.60416667,74.30603448,95.89478694
0.1,11,0.6,0.8,58.18604265,33.21034137,75.88984929,72.36452759
0.1,11,0.7,0.37,50.70646766,22.44727047,69.07991202,284.6291463
0.1,11,0.7,0.5,58.79752431,3.352272727,76.21235955,140.7859409
0.1,11,0.7,0.61,63.4102755,28.42991914,78.48290598,92.0275388
0.1,11,0.7,0.7,63.78539493,37.13709677,79.65243902,70.18085784
0.1,11,0.7,0.8,66.8115942,40.80551524,80.55710048,54.24555135
0.1,11,0.8,0.37,59.46870926,23.52941176,77.6933112,207.8723083
0.1,11,0.8,0.5,63.56421356,35.36086957,80.37951807,115.466496
0.1,11,0.8,0.61,69.58307973,44.91196013,84.4614764,69.84687148
0.1,11,0.8,0.7,69.50483092,40.75,88.51890756,56.34566718
0.1,11,0.8,0.8,74.35046987,46.13405797,86.18439017,45.62761316
0.1,11,0.9,0.37,62.64534884,26.07954545,81.84194712,174.9602673
0.1,11,0.9,0.5,71.56334232,41.35714286,88.15908331,89.34568945
0.1,11,0.9,0.61,73.42747112,45.56156156,89.09722222,60.22573396
0.1,11,0.9,0.7,77.77777778,56.44791667,92.30769231,46.37709845
0.1,11,0.9,0.8,79.42550852,60.13528963,93.12824752,36.48006387
0.1,16,0.5,0.37,48.83190118,21.77801724,72.11624246,359.7417032
0.1,16,0.5,0.5,52.12862319,22.67405063,70.25819672,218.2135745
0.1,16,0.5,0.61,55.55555556,29.1953125,72.99463415,136.1280469
0.1,16,0.5,0.7,55.75733226,24.1395202,74.81994604,109.7470843
0.1,16,0.5,0.8,56.25874126,23.48810482,73.34044046,80.41280378
0.1,16,0.6,0.37,58.64253394,33.57255245,77.24264706,301.010412
0.1,16,0.6,0.5,60.14705882,29.92400744,83.04844883,136.4082673
0.1,16,0.6,0.61,66.85606061,39.3455335,81.96259404,101.4426272
0.1,16,0.6,0.7,66.66666667,34.95735294,81.36697248,74.54968427
0.1,16,0.6,0.8,66.04278075,40.16122365,85.22014052,59.1142564
0.1,16,0.7,0.37,66.66666667,43.42361111,82.48658537,210.0305154
0.1,16,0.7,0.5,73.25203252,40.94537815,87.39522417,109.5357221
0.1,16,0.7,0.61,73.20508416,40.35185185,87.53150482,78.16189595
0.1,16,0.7,0.7,74.45628998,42.08128079,88.90569982,55.62562639
0.1,16,0.7,0.8,75.30487805,51.22159091,88.2264268,46.05923603
0.1,16,0.8,0.37,73.80952381,37.41935484,93.68655241,164.0732561
0.1,16,0.8,0.5,75.27777778,44.66666667,93.76937984,85.43667883
0.1,16,0.8,0.61,80.53997195,52.96491228,95.65217391,58.60357446
0.1,16,0.8,0.7,80.82706767,51.20689655,94.87325175,44.60621046
0.1,16,0.8,0.8,80.70330969,53.78019324,93.27380952,36.01920295
0.1,16,0.9,0.37,76.83363148,55.02525253,96.42857143,126.2512353
0.1,16,0.9,0.5,83.79594899,61.79045093,96.97150735,73.23092104
0.1,16,0.9,0.61,85.23965142,61.42272727,97.5,48.29603994
0.1,16,0.9,0.7,88.28431373,69.04545455,97.36842105,39.32640328
0.1,16,0.9,0.8,88.04761905,70.20833333,96.97150735,31.54405423
0.1,21,0.5,0.37,56.01135191,25.52380952,79.64788732,374.7542089
0.1,21,0.5,0.5,58.82768362,27.08333333,78.23376623,190.8321264
0.1,21,0.5,0.61,59.14770192,30.47690015,78.78090659,133.4397858
0.1,21,0.5,0.7,58.88544892,23.36999022,78.68544339,104.1867421
0.1,21,0.5,0.8,58.95320197,31.85810811,77.77772095,75.20570975
0.1,21,0.6,0.37,65.10869565,29.75061576,83.34305317,309.0022163
